client_id	path	sentence	up_votes	down_votes	age	gender	accent
8f68f397e1b0c4d453a69ef3da386fedc5b637ef2b71938032e2e6a1cfee3e78fbbb1c88271b5a14da4e3889102749ea818adc1550508ec49d9a2acf8935f261	cf0a2a661c3f9a6df377ac3fc80e3e42a0752b2aef0f09e16bffd06e00802812c3d580b3579a726c558d30aac611d716f841beed2d0029eb226d2728b9bda543	Ayrıca güzel manzaralı bir balkonu da var.	1	2			
e49abb441a6908485d05b73ed011b1abe107778dfed638520887b2c76fbbe0b3c9f46a110de2e11d1209bd810b44e33cdf99a5e596b6e09c8075bce46d157074	58458f5061f59082213c60ef3230020d27f40017d31755af813b4112672e733f0fbeb9d60310ab0f2a3a4fe9a06a05ba4c4849dc97c576ea9826851e4c3a356b	"Projeye ilişkin müzakereler 1998'de başlamıştı."	1	3	thirties	male	
e49abb441a6908485d05b73ed011b1abe107778dfed638520887b2c76fbbe0b3c9f46a110de2e11d1209bd810b44e33cdf99a5e596b6e09c8075bce46d157074	c75702e46dedbb8843743ec7cf7ac16360e9d3867c47d3619a0dfad542d3cb309cc00c8e0d8d4b1d474cf83e851b7ecbf04329a91046c318c8a6a707efb8d6fe	Periklis Iakovakis 400m engellide iddialı.	1	2	thirties	male	
e49abb441a6908485d05b73ed011b1abe107778dfed638520887b2c76fbbe0b3c9f46a110de2e11d1209bd810b44e33cdf99a5e596b6e09c8075bce46d157074	ac7d861c2de2ed5b4ea17c0308a047c71241175f332963b925a75e94b531d2b8125d782200a690a47be258c9ec394519c4812e7b5b19fe0d8a4f390a3913e131	Mevcut işsizlik oranı ,4.	0	2	thirties	male	
7814bee90c6313a42299e1c2d3d6a1bbdfafa86f6d2d24ae6eb65855a798eef3aa4cd22ea22e8877ba18a649aa47eff45f503e935f0f20699ae13a56188459e1	e3aec8c15689605fe9164616be4fc436996f4f1bf84f2b3163d61806bc92b729aca269be80fb146b6463f2e7e00f270a3aa6c7ecbcafd43334b5ed841983ea7d	Bunlara ek olarak ülkenin ekonomik durumunda bir değişiklik olacağını düşünüyor musunuz?	1	2	twenties	male	
7814bee90c6313a42299e1c2d3d6a1bbdfafa86f6d2d24ae6eb65855a798eef3aa4cd22ea22e8877ba18a649aa47eff45f503e935f0f20699ae13a56188459e1	31be6fd5a9dc3052042d6b5407bafe9348723167a382212b69cc147f067c2af97a695f311d828317997d447c19b867652c6eab96ecfa4c4f1a9223d86d92dcf1	"Şebeke bağlantılarının 'ye yakını kaçak."	0	2	twenties	male	
0792c135f035a5ffec7de13fdffa89755c6468535fc7b4d12714a12d1d76d3bcf9b51648a9ba7cfb6cf3b1d9a280be8817be94cff8f7968f5bb5dd0dd19e67a3	6ff196529c0266e37e876e0dee475441bbc3b6672d4e46ed21d46eb17dd17c2c87fccb3cb73ad14c7b53cb78f171f626527c9e5ff8387cc24613f7685d3c77db	"Konukların f'sı yabancılardan oluşuyor."	0	2	thirties	male	other
0792c135f035a5ffec7de13fdffa89755c6468535fc7b4d12714a12d1d76d3bcf9b51648a9ba7cfb6cf3b1d9a280be8817be94cff8f7968f5bb5dd0dd19e67a3	d8b384d3856150809ab1d902562ed87b3460643b443181393afb69c6b0dcf7db3f4bc15f0c8f24ccfd9ab188193f6bd86ab9129b4f33494ec4575038c208cde7	Kamuoyunda da güçlü bir destek söz konusu.	1	2	thirties	male	other
ea7c99d875b3013db4f891fd61a091656a5ebc5e8435a28af0751d322e86fffb5884c79a4dd96a3c094d93f86c2e3942eb7373292c6c2908041cd374fdaad6b8	34b0b3bd525728b55a0426ff2507821833f10f137620866c393f9117ecf53a97026af7206e48b036b387e3968e7ab44de7fcfb27b005e56ad966d3eb2ceaf074	Bu, hükümetin projeye ikinci destek verişi.	1	2	teens	male	other
06e5c8b916756d5f19b3783234305b4ce941b2893517dffe5f34baf7ad3fdc50ed6e2c49ca80ef2806aaf7faea9be3e85821a1e2cbf5ef37b664e14393c33ffb	1cf90638c62c901b0c438d52d1f1d8815e95cc50ecd71321d0ceff36a0445742f4c061cf19c4576ab6a97e3a05f205be880c1223e0c9647ed87f890b20311206	Etkinlik bir hafta sürecek.	2	3			
06e5c8b916756d5f19b3783234305b4ce941b2893517dffe5f34baf7ad3fdc50ed6e2c49ca80ef2806aaf7faea9be3e85821a1e2cbf5ef37b664e14393c33ffb	76d81433cc0bdd8d4d77ee12518c82576ad02bc4e9ecf8337386eb87503547a21289c03d0dbce4a268061192a355f8ea54a9f9006c1f9c3f5777377b446ef68e	Sivil can kaybı sayısı da tartışmalı.	0	2			
06e5c8b916756d5f19b3783234305b4ce941b2893517dffe5f34baf7ad3fdc50ed6e2c49ca80ef2806aaf7faea9be3e85821a1e2cbf5ef37b664e14393c33ffb	c9aed1f842f7970deabd4ea70bc7050d378d6debb5c40d2ff8224ff9ff381a7cb09bf2d38b14e9152caec4469af7ddfb24215e195b9f23e8b8381a3b79036911	Festival Pazar günü sona eriyor.	1	2			
06e5c8b916756d5f19b3783234305b4ce941b2893517dffe5f34baf7ad3fdc50ed6e2c49ca80ef2806aaf7faea9be3e85821a1e2cbf5ef37b664e14393c33ffb	884bf42f37b347fc6b9f086aa4289c8c56b3b501e0642edbe1786494f168dde034d0d98a57cb619b043f471d45c1eb2d5e2aa7a867483a540b70eb12dc32171e	Ağları en çok kullananlar gençler.	1	2			
06e5c8b916756d5f19b3783234305b4ce941b2893517dffe5f34baf7ad3fdc50ed6e2c49ca80ef2806aaf7faea9be3e85821a1e2cbf5ef37b664e14393c33ffb	03057027ba58d448bdfe3e530ad37983eeaab7c1a98f103ebfcd7d0c1d9501903b53c48479543f3254b711cf8c549f85453b4f180b7bef8150916771c76268f3	"Tabii 1990'lardan bu yana durum değişti."	0	2			
047fe72ed897cfa03074930ef563cded18973aa4918b63200ac9b829191a76e3c02dcd4fd21c0c6d67cd64256bef1a06069c8b11e1ec7bee40ffea3a9cba4bd0	8ed961965cdb56a6d18b28a0199d0664bd2eddfb8b5194d6cbca62b5fdff27e7a7f7ca8d31c75f11fccf6f975402acb2e6f6ea10ebe0da1cfaadabb104cef1f2	Kamuoyu ikiye bölünmüş durumda.	1	2			
957c3b7900a3e1116f161747af953182dc48c00c703fb6c1090bd218cb5c9963ab093251d6851381633fece507f7127a1d5de8baf6b5217197a98563f09ed141	8da80a73b97c035b52eaffa9b5adf029b31f3b71724c9018d173162b81db9ba9f6782b9c42326ee2942254e763f35e6056cea3a99a8aac276c4610b4bcae2b03	"Toplamda h,6'nız erkek, 1,4'ünüz ise kadın."	1	2	twenties	male	
1c5859df4e26a278e08334cc137ec11880807f5bb8659d0328592d904ccadf427d809db4c351f3fb96a91b65b42057191f06fc1a10b7fa0a73040cfb4381d30a	56391ae76af2892ce454be6ced2387da035818c94242b74d0bb33fb087057d6529452f4462f4037af312c03951e9d10fa905a3b9ace1a0bbd193f0e1e98e5dfe	Şimdi Budapeşte de konuya müdahale etti.	1	3	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	e9c9838ee6e88e897210fe2e99b060428403426f17a9ae8f7600b17132d76b90d9b6dcd13c20c86b482ca77d31a0177e1893a8e01f6e700b68a6b77d1316d359	"Ekim 2005'te müzakereler başladı."	1	2	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	abd32357ddad414f0b29f8ed43095cc8b21948aa07e9c90da014ef1162a59e1578c3a6f296cdcf5fb8cfdf5669635175dd062685963127ac3853362f7cb86438	Bu dili nerden öğrendiğini soruyoruz.	1	2	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	fc790c7f58655fdcbf96c92c9957e0c5ea1b2d7bfd8208b229fb6c254b0311f3995bbfaf82c1419968d51652731223ecfa8806f2b250b66830e42eabae1be026	Ve bu borçları bile ödemesi zor olacak.	1	2	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	9ebc3a785110e21e9956021b51ff19bc2294655cf6295ffe0104cf041d1c22075aafbee7658a47b41cd50c35b66a84b360a061efc559be20efe56134eb1cdf60	Renovasyon çalışmaları 152 bin avro tutacak.	1	2	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	ceb01bd90de6ad5476af533832dc3afbcb1401d0adda979186e11a5e29bc858a09a7d77a1397756e92e8a23d4b50904c58bb7b8d010a3d8d1e660c599d26ff15	Hakemler bir dolu hata, acemi hataları yaptılar.	0	2	twenties	male	
20de5fd6f015543e4a96d627c845726029aca7c9a4963ee9903a20855262819ca93feb0cd20e9018edd1012c7de28c1c6935dc06eded611734b13317092f5379	aa30f2f7a2cd3b57d3dc53a6942252f5cd70f5929e0d7bfaba9895f90f0e8d9836f514782d86fb0498fce2480281719ef364b94ec97d0fa5b73b5623bf12d3dd	Bunlar yalnızca benim başıma gelmiyor.	1	2	twenties	male	
