client_id	path	sentence	up_votes	down_votes	age	gender	accent
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	6503943035cc565db658c4609d1941ba532b7d70818827b8cbde05e1fbaf0f53216cbbdfd016ec4710dff7f715ad636b7335b0178b4a2353d19cdc752a02b18e	Gerçekten de bu süreci hızlandırmak istiyoruz.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	72cf2ef7f65ec925e26e1c54e0b76451cbc409d04f2b8116ab33b5e76a8b2c851922b2192d4c7716fbc1bc20ec907e40952e8e0ea82a9659f9e3d89f28965a9e	Diğer iki kişi Bosnalı.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	d4024deea88f021f86082da35021a9f33962e54324bcf2e4b59e3062894794fc21d982f1a81b1c0f3c7c5ab1837a82689eccc1018431c08b8004ce4a553e3520	Siz bu meseleyi nasıl değerlendiriyorsunuz?	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	d2fd3eafb16783d1f5de1c3f105cc82e2e09740c80d1c19bef1bd16a78794caa98bea6a7b2b0e0e94751ec2378ccce331e568568a79ad17b6cc249674fc603a2	Sendikalar, bir dizi grev yapılacağını duyurdu.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	6a4a3adb03d9b4eb2c2007423118ff1773952c4ca1acdbb4214ef9619e2b4b602b617a4cdc6e75e7838c34385b8462eb4c7628b334a5adabc1c87ca4024888d4	Bu aşamaya gelebilen dava sayısı zaten çok az.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	c533b899b46557c4af34787fd67aed161e0069494a5205b49b23c4a0538430360919f8e56903a3ea4c04eb4c6a105bf4028b91b400ff4cb84e4c3aa1dfcf12dc	Yine de reform çığlıkları giderek büyüdü.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	e40e110ffe164d257fb015eeef66eae6eb0399da28546b73f49ae863b95b55665a21086926f1644a003c2e385ef77b5a661a271171789894dc6bb03bb8646a92	Önce çok yavaş başlar, ardından hızlanırız.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	f581dafd7353f70763590ccf44b90462d80e20291a33c47fcdd8e3b30359839c7181919ff921f119037f82ae1a35594d9b583bdba07b270586ea423f967b4316	Su parkı da iki bin altı yılında açıldı.	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	478b478a5dcc8ac4ddc30e4159bcac4b7053f776a550d7ab6f7a43146b7a016c27eaee09421e3b7615d35e6baf0dc7eed61321849206d97debbfc6ee379c361c	"Festival yirmi iki Eylül'e kadar devam edecek."	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	ec88430c8be34f1b4c009bfa751d0a10fb211783bb6c46d9b9443a992197b9ba888a83986a0232ca1f82b7598481bbf17eba1da356405d44815a253452850d73	Bunun hakkında ne düşünüyorsunuz?	2	0	thirties	male	
8fe727a376f60b934c4194de3211f093b5536b51a20db1c6848cb490ec7f6765258527877784356581f70782ab64157548e883ec799c62fe4b0482ffc054efd3	04a4b533175489f7f08eb1547fccd05100142f39dbf46ecb2ee9eb64eec7a8685157943633664f2f57261bbe3b365b5f94acdb7528a90544b0c805ef31372abc	Kosova, fiili ve meşru bir devlettir.	2	0	thirties	male	
